URL	chrom://isq7ci2006004/ChromeleonLocal/Instrument Data/Aspuru-Guzik/Stanley/2024_12_16_005c-H.seq/177.smp/MS_F1_[266.1-266.3].channel/MS_F1_[266.1-266.3].chm
Channel	MS_F1_[266.1-266.3]

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	PS_Dimer_conc
Number	5
Position	3
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:19:27 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500672
Time Max. (min)	6.996815
Data Points	1323
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	aspuruguzik
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	7175986.500000
Channel	MS_F1_[266.1-266.3]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406097

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.126357	0.204	0.000000
4.129758	0.2041	0.000000
4.133160	0.2041	0.000000
4.136560	0.204	0.000000
4.139962	0.2041	0.000000
4.143363	0.2041	23931.798828
4.146763	0.204	0.000000
4.150165	0.2041	0.000000
4.153565	0.204	0.000000
4.156967	0.2041	0.000000
4.160368	0.2041	0.000000
4.163768	0.204	0.000000
4.167170	0.2041	0.000000
4.170570	0.204	0.000000
4.173972	0.2041	0.000000
4.177373	0.2041	0.000000
4.180773	0.204	0.000000
4.184175	0.2041	0.000000
4.187575	0.204	21736.613281
4.190977	0.2041	0.000000
4.194378	0.2041	0.000000
4.197778	0.204	0.000000
4.201180	0.2041	29023.630859
4.204582	0.2041	0.000000
4.207982	0.204	0.000000
4.211383	0.2041	0.000000
4.214783	0.204	0.000000
4.218185	0.2041	0.000000
4.221587	0.2041	0.000000
4.224987	0.204	20742.828125
4.228388	0.2041	0.000000
4.231788	0.204	0.000000
4.235190	0.2041	0.000000
4.238592	0.2041	0.000000
4.241992	0.204	0.000000
4.245393	0.2041	0.000000
4.248793	0.204	27849.322266
4.252195	0.2041	0.000000
4.255597	0.2041	0.000000
4.258997	0.204	0.000000
4.262398	0.2041	0.000000
4.265800	0.2041	0.000000
4.269200	0.204	0.000000
4.272602	0.2041	44209.183594
4.276002	0.204	0.000000
4.279403	0.2041	0.000000
4.282805	0.2041	0.000000
4.286205	0.204	53839.714844
4.289607	0.2041	44297.636719
4.293007	0.204	0.000000
4.296408	0.2041	0.000000
4.299810	0.2041	0.000000
4.303210	0.204	0.000000
4.306612	0.2041	0.000000
4.310012	0.204	0.000000
4.313413	0.2041	0.000000
4.316815	0.2041	0.000000
4.320215	0.204	0.000000
4.323617	0.2041	0.000000
4.327017	0.204	0.000000
4.330418	0.2041	0.000000
4.333820	0.2041	0.000000
4.337220	0.204	0.000000
4.340622	0.2041	0.000000
4.344023	0.2041	0.000000
4.347423	0.204	0.000000
4.350825	0.2041	0.000000
4.354225	0.204	0.000000
4.357627	0.2041	0.000000
4.361028	0.2041	0.000000
4.364428	0.204	41832.660156
4.367830	0.2041	0.000000
4.371230	0.204	0.000000
4.374632	0.2041	0.000000
4.378033	0.2041	0.000000
4.381433	0.204	0.000000
4.384835	0.2041	0.000000
4.388235	0.204	0.000000
4.391637	0.2041	0.000000
4.395038	0.2041	0.000000
4.398438	0.204	0.000000
4.401840	0.2041	0.000000
4.405242	0.2041	46618.003906
4.408642	0.204	28741.558594
4.412043	0.2041	0.000000
4.415443	0.204	0.000000
4.418845	0.2041	0.000000
4.422247	0.2041	0.000000
4.425647	0.204	11217.579102
4.429048	0.2041	0.000000
4.432448	0.204	0.000000
4.435850	0.2041	0.000000
4.439252	0.2041	0.000000
4.442652	0.204	0.000000
4.446053	0.2041	0.000000
4.449453	0.204	0.000000
4.452855	0.2041	0.000000
4.456257	0.2041	0.000000
4.459657	0.204	0.000000
4.463058	0.2041	0.000000
4.466458	0.204	54910.750000
4.469860	0.2041	29178.447266
4.473262	0.2041	0.000000
4.476662	0.204	0.000000
4.480063	0.2041	0.000000
4.483465	0.2041	0.000000
4.486865	0.204	0.000000
4.490267	0.2041	0.000000
4.493667	0.204	0.000000
4.497068	0.2041	0.000000
4.500470	0.2041	0.000000
4.503870	0.204	0.000000
4.507272	0.2041	0.000000
4.510672	0.204	0.000000
4.514073	0.2041	0.000000
4.517475	0.2041	0.000000
4.520875	0.204	0.000000
4.524277	0.2041	0.000000
4.527677	0.204	25962.591797
4.531078	0.2041	0.000000
4.534480	0.2041	0.000000
4.537880	0.204	0.000000
4.541282	0.2041	0.000000
4.544683	0.2041	0.000000
4.548083	0.204	0.000000
4.551485	0.2041	0.000000
4.554885	0.204	0.000000
4.558287	0.2041	32313.707031
4.561688	0.2041	0.000000
4.565088	0.204	0.000000
4.568490	0.2041	0.000000
4.571890	0.204	0.000000
4.575292	0.2041	0.000000
4.578693	0.2041	0.000000
4.582093	0.204	0.000000
4.585495	0.2041	0.000000
4.588895	0.204	0.000000
4.592297	0.2041	0.000000
4.595698	0.2041	0.000000
4.599098	0.204	0.000000
4.602500	0.2041	0.000000
4.605902	0.2041	0.000000
4.609302	0.204	0.000000
4.612703	0.2041	0.000000
4.616103	0.204	0.000000
4.619505	0.2041	0.000000
4.622907	0.2041	0.000000
4.626307	0.204	0.000000
4.629708	0.2041	0.000000
4.633108	0.204	0.000000
4.636510	0.2041	0.000000
4.639912	0.2041	0.000000
4.643312	0.204	0.000000
4.646713	0.2041	0.000000
4.650113	0.204	0.000000
4.653515	0.2041	0.000000
4.656917	0.2041	0.000000
4.660317	0.204	0.000000
4.663718	0.2041	0.000000
4.667118	0.204	0.000000
4.670520	0.2041	10611.145508
4.673922	0.2041	0.000000
4.677322	0.204	0.000000
4.680723	0.2041	0.000000
4.684125	0.2041	0.000000
4.687525	0.204	0.000000
4.690927	0.2041	0.000000
4.694327	0.204	0.000000
4.697728	0.2041	0.000000
4.701130	0.2041	0.000000
4.704530	0.204	0.000000
4.707932	0.2041	0.000000
4.711332	0.204	0.000000
4.714733	0.2041	11838.580078
4.718135	0.2041	0.000000
4.721535	0.204	0.000000
4.724937	0.2041	0.000000
4.728337	0.204	0.000000
4.731738	0.2041	0.000000
4.735140	0.2041	36225.742188
4.738540	0.204	0.000000
4.741942	0.2041	0.000000
4.745343	0.2041	0.000000
4.748743	0.204	0.000000
4.752145	0.2041	0.000000
4.755545	0.204	0.000000
4.758947	0.2041	0.000000
4.762348	0.2041	0.000000
4.765748	0.204	0.000000
4.769150	0.2041	0.000000
4.772550	0.204	0.000000
4.775952	0.2041	0.000000
4.779353	0.2041	0.000000
4.782753	0.204	0.000000
4.786155	0.2041	0.000000
4.789555	0.204	0.000000
4.792957	0.2041	0.000000
4.796358	0.2041	0.000000
4.799758	0.204	0.000000
4.803160	0.2041	33309.171875
4.806560	0.204	24644.480469
4.809962	0.2041	0.000000
4.813363	0.2041	0.000000
4.816763	0.204	0.000000
4.820165	0.2041	0.000000
4.823567	0.2041	0.000000
4.826967	0.204	31624.654297
4.830368	0.2041	0.000000
4.833768	0.204	0.000000
4.837170	0.2041	45495.683594
4.840572	0.2041	0.000000
4.843972	0.204	0.000000
4.847373	0.2041	0.000000
4.850773	0.204	0.000000
4.854175	0.2041	17493.675781
4.857577	0.2041	33020.207031
4.860977	0.204	0.000000
4.864378	0.2041	0.000000
4.867778	0.204	0.000000
4.871180	0.2041	0.000000
4.874582	0.2041	0.000000
4.877982	0.204	0.000000
4.881383	0.2041	40639.757813
4.884785	0.2041	48229.917969
4.888185	0.204	0.000000
4.891587	0.2041	0.000000
4.894987	0.204	0.000000
4.898388	0.2041	0.000000
4.901790	0.2041	0.000000
4.905190	0.204	0.000000
4.908592	0.2041	0.000000
4.911992	0.204	0.000000
4.915393	0.2041	0.000000
4.918795	0.2041	0.000000
4.922195	0.204	0.000000
4.925597	0.2041	56800.585938
4.928997	0.204	0.000000
4.932398	0.2041	0.000000
4.935800	0.2041	0.000000
4.939200	0.204	0.000000
4.942602	0.2041	0.000000
4.946002	0.204	0.000000
4.949403	0.2041	0.000000
4.952805	0.2041	0.000000
4.956205	0.204	0.000000
4.959607	0.2041	0.000000
4.963008	0.2041	0.000000
4.966408	0.204	0.000000
4.969810	0.2041	0.000000
4.973210	0.204	0.000000
4.976612	0.2041	0.000000
4.980013	0.2041	0.000000
4.983413	0.204	17815.488281
4.986815	0.2041	0.000000
4.990215	0.204	0.000000
4.993617	0.2041	0.000000
4.997018	0.2041	0.000000
5.000418	0.204	0.000000
5.003820	0.2041	0.000000
5.007220	0.204	0.000000
5.010622	0.2041	0.000000
5.014023	0.2041	0.000000
5.017423	0.204	0.000000
5.020825	0.2041	0.000000
5.024227	0.2041	0.000000
5.027627	0.204	0.000000
5.031028	0.2041	0.000000
5.034428	0.204	0.000000
5.037830	0.2041	0.000000
5.041232	0.2041	0.000000
5.044632	0.204	0.000000
5.048033	0.2041	0.000000
5.051433	0.204	0.000000
5.054835	0.2041	0.000000
5.058237	0.2041	0.000000
5.061637	0.204	0.000000
5.065038	0.2041	42128.632813
5.068438	0.204	29064.582031
5.071840	0.2041	0.000000
5.075242	0.2041	0.000000
5.078642	0.204	0.000000
5.082043	0.2041	0.000000
5.085445	0.2041	0.000000
5.088845	0.204	0.000000
5.092247	0.2041	12392.199219
5.095647	0.204	0.000000
5.099048	0.2041	0.000000
5.102450	0.2041	0.000000
5.105850	0.204	0.000000
5.109252	0.2041	0.000000
5.112652	0.204	0.000000
5.116053	0.2041	0.000000
5.119455	0.2041	0.000000
5.122855	0.204	0.000000
5.126257	0.2041	0.000000
