URL	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	PS_Dimer_conc
Number	5
Position	3
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:19:27 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500672
Time Max. (min)	6.996815
Data Points	1323
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1228461.495667
Signal Max.	32525129.015537
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406097

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.265800	0.2041	7498852.912586
4.269200	0.204	7420817.294633
4.272602	0.2041	7374203.301854
4.276002	0.204	7515725.759354
4.279403	0.2041	7517367.126885
4.282805	0.2041	7462007.508440
4.286205	0.204	7451159.854129
4.289607	0.2041	7511952.493992
4.293007	0.204	7513737.442191
4.296408	0.2041	7463640.615309
4.299810	0.2041	7411492.458097
4.303210	0.204	7286325.455648
4.306612	0.2041	7399533.858586
4.310012	0.204	7511984.539779
4.313413	0.2041	7396862.141220
4.316815	0.2041	7426614.564205
4.320215	0.204	7476642.936489
4.323617	0.2041	7488801.201068
4.327017	0.204	7404838.010408
4.330418	0.2041	7359785.446315
4.333820	0.2041	7529930.161309
4.337220	0.204	7398976.795556
4.340622	0.2041	7346415.297733
4.344023	0.2041	7675466.434148
4.347423	0.204	7794990.423022
4.350825	0.2041	7617912.944907
4.354225	0.204	7410680.591230
4.357627	0.2041	7358396.995630
4.361028	0.2041	7396329.956081
4.364428	0.204	7506954.779582
4.367830	0.2041	7595576.166616
4.371230	0.204	7525426.987982
4.374632	0.2041	7579988.210273
4.378033	0.2041	7642293.699009
4.381433	0.204	7565090.130909
4.384835	0.2041	7536860.852677
4.388235	0.204	7550409.101345
4.391637	0.2041	7492345.281261
4.395038	0.2041	7479163.544088
4.398438	0.204	7564034.845671
4.401840	0.2041	7519706.048283
4.405242	0.2041	7484587.008398
4.408642	0.204	7487175.664234
4.412043	0.2041	7506293.692823
4.415443	0.204	7581693.587686
4.418845	0.2041	7653406.088949
4.422247	0.2041	7606334.214917
4.425647	0.204	7763566.422719
4.429048	0.2041	7884539.392797
4.432448	0.204	7557845.970611
4.435850	0.2041	7571797.816485
4.439252	0.2041	7800841.663293
4.442652	0.204	7769895.755289
4.446053	0.2041	7606975.048174
4.449453	0.204	7673514.017616
4.452855	0.2041	7759946.313294
4.456257	0.2041	7559252.218466
4.459657	0.204	7579824.792581
4.463058	0.2041	7729184.188796
4.466458	0.204	7584622.475192
4.469860	0.2041	7571997.659938
4.473262	0.2041	7690048.865760
4.476662	0.204	7560952.303332
4.480063	0.2041	7672455.728324
4.483465	0.2041	7832643.327458
4.486865	0.204	7759977.278823
4.490267	0.2041	7657221.678260
4.493667	0.204	7621847.997922
4.497068	0.2041	7777449.122221
4.500470	0.2041	7746805.299309
4.503870	0.204	7653269.818090
4.507272	0.2041	7493750.219498
4.510672	0.204	7571180.565550
4.514073	0.2041	7922705.677821
4.517475	0.2041	7742259.437437
4.520875	0.204	7578599.129241
4.524277	0.2041	7700296.518033
4.527677	0.204	7713543.903052
4.531078	0.2041	7825660.720651
4.534480	0.2041	7905381.938099
4.537880	0.204	7781540.075141
4.541282	0.2041	7965542.198576
4.544683	0.2041	7837503.388002
4.548083	0.204	7466716.992592
4.551485	0.2041	7622456.350083
4.554885	0.204	7677040.040432
4.558287	0.2041	7694251.396446
4.561688	0.2041	7748750.860499
4.565088	0.204	7741496.163458
4.568490	0.2041	7814126.386444
4.571890	0.204	7723768.052118
4.575292	0.2041	7886357.992643
4.578693	0.2041	8215862.283878
4.582093	0.204	7903393.866420
4.585495	0.2041	7629136.529386
