Chromatogram RI	
X:	Y:
2.30500	0.013
2.30667	0.005
2.30833	-0.001
2.31000	0.001
2.31167	0.006
2.31333	0.004
2.31500	0.002
2.31667	0.003
2.31833	0.005
2.32000	0.009
2.32167	0.014
2.32333	0.021
2.32500	0.022
2.32667	0.018
2.32833	0.008
2.33000	0.001
2.33167	0.002
2.33333	0.003
2.33500	0.005
2.33667	0.006
2.33833	0.004
2.34000	0.002
2.34167	0.005
2.34333	0.015
2.34500	0.020
2.34667	0.019
2.34833	0.017
2.35000	0.016
2.35167	0.008
2.35333	0.003
2.35500	0.004
2.35667	0.008
2.35833	0.011
2.36000	0.012
2.36167	0.011
2.36333	0.010
2.36500	0.012
2.36667	0.010
2.36833	0.009
2.37000	0.009
2.37167	0.009
2.37333	0.007
2.37500	0.004
2.37667	0.006
2.37833	0.011
2.38000	0.013
2.38167	0.017
2.38333	0.021
2.38500	0.026
2.38667	0.021
2.38833	0.010
2.39000	0.010
2.39167	0.013
2.39333	0.017
2.39500	0.019
2.39667	0.017
2.39833	0.010
2.40000	0.009
2.40167	0.014
2.40333	0.016
2.40500	0.018
2.40667	0.017
2.40833	0.010
2.41000	0.002
2.41167	-0.002
2.41333	0.000
2.41500	-0.001
2.41667	0.000
2.41833	0.007
2.42000	0.011
2.42167	0.015
2.42333	0.015
2.42500	0.019
2.42667	0.023
2.42833	0.020
2.43000	0.018
2.43167	0.012
2.43333	0.005
2.43500	0.001
2.43667	0.002
2.43833	0.006
2.44000	0.011
2.44167	0.014
2.44333	0.018
2.44500	0.016
2.44667	0.015
2.44833	0.015
2.45000	0.011
2.45167	0.012
2.45333	0.010
2.45500	0.007
2.45667	0.002
2.45833	0.000
2.46000	0.001
2.46167	0.006
