Chromatogram RI	
X:	Y:
0.80167	-0.003
0.80333	-0.001
0.80500	-0.001
0.80667	0.000
0.80833	-0.001
0.81000	-0.003
0.81167	-0.004
0.81333	-0.008
0.81500	-0.013
0.81667	-0.013
0.81833	-0.009
0.82000	-0.003
0.82167	0.003
0.82333	0.007
0.82500	0.009
0.82667	0.008
0.82833	0.001
0.83000	-0.005
0.83167	-0.004
0.83333	-0.006
0.83500	-0.008
0.83667	-0.009
0.83833	-0.011
0.84000	-0.011
0.84167	-0.004
0.84333	0.000
0.84500	0.010
0.84667	0.013
0.84833	0.002
0.85000	-0.007
0.85167	-0.015
0.85333	-0.017
0.85500	-0.016
0.85667	-0.011
0.85833	-0.007
0.86000	-0.004
0.86167	-0.009
0.86333	-0.011
0.86500	-0.003
0.86667	0.007
0.86833	0.006
0.87000	0.004
0.87167	-0.003
0.87333	-0.009
0.87500	-0.013
0.87667	-0.012
0.87833	-0.008
0.88000	-0.004
0.88167	0.000
0.88333	0.001
0.88500	0.003
0.88667	0.005
0.88833	0.005
0.89000	0.001
0.89167	-0.003
0.89333	-0.005
0.89500	-0.011
0.89667	-0.015
0.89833	-0.017
0.90000	-0.013
0.90167	-0.005
0.90333	0.001
0.90500	0.008
0.90667	0.011
0.90833	0.006
0.91000	-0.002
0.91167	-0.010
0.91333	-0.011
0.91500	-0.006
0.91667	-0.006
0.91833	-0.005
0.92000	-0.006
0.92167	-0.004
0.92333	0.000
0.92500	0.006
0.92667	0.009
0.92833	0.015
0.93000	0.014
0.93167	0.006
0.93333	0.000
0.93500	0.001
0.93667	0.001
0.93833	0.001
0.94000	0.002
0.94167	0.003
0.94333	0.003
0.94500	0.005
0.94667	0.009
0.94833	0.013
0.95000	0.016
0.95167	0.015
0.95333	0.009
0.95500	0.003
0.95667	0.001
0.95833	0.003
0.96000	0.005
0.96167	0.008
0.96333	0.011
0.96500	0.015
0.96667	0.017
0.96833	0.018
0.97000	0.016
0.97167	0.010
0.97333	0.009
0.97500	0.009
0.97667	0.007
0.97833	0.001
0.98000	-0.002
0.98167	-0.005
0.98333	-0.002
0.98500	0.004
0.98667	0.010
0.98833	0.016
0.99000	0.017
0.99167	0.006
0.99333	0.000
0.99500	0.000
0.99667	0.002
0.99833	0.003
1.00000	0.003
1.00167	0.003
1.00333	0.004
1.00500	0.006
1.00667	0.008
1.00833	0.012
1.01000	0.019
1.01167	0.019
1.01333	0.011
1.01500	0.004
1.01667	-0.001
1.01833	-0.003
1.02000	0.001
1.02167	0.001
1.02333	0.001
1.02500	0.002
1.02667	0.002
1.02833	0.005
1.03000	0.016
1.03167	0.021
1.03333	0.017
1.03500	0.012
1.03667	0.005
1.03833	0.001
1.04000	-0.001
1.04167	0.004
1.04333	0.009
1.04500	0.012
1.04667	0.013
1.04833	0.011
1.05000	0.012
1.05167	0.012
1.05333	0.011
1.05500	0.009
1.05667	0.006
1.05833	0.005
1.06000	0.002
1.06167	-0.001
1.06333	-0.001
1.06500	0.000
1.06667	0.006
1.06833	0.013
1.07000	0.018
1.07167	0.025
1.07333	0.021
1.07500	0.017
1.07667	0.014
1.07833	0.012
1.08000	0.011
1.08167	0.012
1.08333	0.009
1.08500	0.009
1.08667	0.009
1.08833	0.008
1.09000	0.016
1.09167	0.025
1.09333	0.025
1.09500	0.017
1.09667	0.006
1.09833	-0.003
1.10000	-0.010
1.10167	-0.009
1.10333	-0.003
1.10500	0.000
1.10667	0.001
1.10833	0.001
1.11000	0.003
1.11167	0.006
1.11333	0.012
1.11500	0.009
1.11667	0.004
1.11833	0.000
1.12000	-0.008
1.12167	-0.016
1.12333	-0.016
1.12500	-0.009
1.12667	-0.001
1.12833	0.006
